Experiment Log
[2025-03-25 15:20:06] Experiment folder created at: Results/MNN_Results/TrTj_13_100_14_100_TTj_15/bfw_3_npbi_3_niu_1
[2025-03-25 15:20:06] Constructed sample at index 174.
[2025-03-25 15:20:06] Constructed sample at index 175.
[2025-03-25 15:20:06] Constructed sample at index 176.
[2025-03-25 15:20:06] Constructed sample at index 177.
[2025-03-25 15:20:06] Constructed sample at index 178.
[2025-03-25 15:20:06] Constructed sample at index 179.
[2025-03-25 15:20:06] Constructed sample at index 180.
[2025-03-25 15:20:06] Constructed sample at index 181.
[2025-03-25 15:20:06] Constructed sample at index 182.
[2025-03-25 15:20:06] Constructed sample at index 183.
[2025-03-25 15:20:06] Constructed sample at index 184.
[2025-03-25 15:20:06] Constructed sample at index 185.
[2025-03-25 15:20:06] Constructed sample at index 186.
[2025-03-25 15:20:06] Constructed sample at index 187.
[2025-03-25 15:20:06] Constructed sample at index 188.
[2025-03-25 15:20:06] Constructed sample at index 189.
[2025-03-25 15:20:06] Constructed sample at index 190.
[2025-03-25 15:20:06] Constructed sample at index 191.
[2025-03-25 15:20:06] Constructed sample at index 192.
[2025-03-25 15:20:06] Constructed sample at index 193.
[2025-03-25 15:20:06] Constructed sample at index 194.
[2025-03-25 15:20:06] Constructed sample at index 195.
[2025-03-25 15:20:06] Constructed sample at index 196.
[2025-03-25 15:20:06] Constructed sample at index 197.
[2025-03-25 15:20:06] Constructed sample at index 198.
[2025-03-25 15:20:06] Constructed sample at index 199.
[2025-03-25 15:20:06] Constructed sample at index 200.
[2025-03-25 15:20:06] Constructed sample at index 201.
[2025-03-25 15:20:06] Constructed sample at index 202.
[2025-03-25 15:20:06] Constructed sample at index 203.
[2025-03-25 15:20:06] Constructed sample at index 204.
[2025-03-25 15:20:06] Constructed sample at index 205.
[2025-03-25 15:20:06] Constructed sample at index 206.
[2025-03-25 15:20:06] Constructed sample at index 207.
[2025-03-25 15:20:06] Constructed sample at index 208.
[2025-03-25 15:20:06] Constructed sample at index 209.
[2025-03-25 15:20:06] Constructed sample at index 210.
[2025-03-25 15:20:06] Constructed sample at index 211.
[2025-03-25 15:20:06] Constructed sample at index 212.
[2025-03-25 15:20:06] Constructed sample at index 213.
[2025-03-25 15:20:06] Constructed sample at index 214.
[2025-03-25 15:20:06] Constructed sample at index 215.
[2025-03-25 15:20:06] Constructed sample at index 216.
[2025-03-25 15:20:06] Constructed sample at index 217.
[2025-03-25 15:20:06] Constructed sample at index 218.
[2025-03-25 15:20:06] Constructed sample at index 219.
[2025-03-25 15:20:06] Constructed sample at index 220.
[2025-03-25 15:20:06] Constructed sample at index 221.
[2025-03-25 15:20:06] Constructed sample at index 222.
[2025-03-25 15:20:06] Constructed sample at index 223.
[2025-03-25 15:20:06] Constructed sample at index 224.
[2025-03-25 15:20:06] Constructed sample at index 225.
[2025-03-25 15:20:06] Constructed sample at index 226.
[2025-03-25 15:20:06] Constructed sample at index 227.
[2025-03-25 15:20:06] Constructed sample at index 228.
[2025-03-25 15:20:06] Constructed sample at index 229.
[2025-03-25 15:20:06] Constructed sample at index 230.
[2025-03-25 15:20:06] Constructed sample at index 231.
[2025-03-25 15:20:06] Constructed sample at index 232.
[2025-03-25 15:20:06] Constructed sample at index 233.
[2025-03-25 15:20:06] Constructed sample at index 234.
[2025-03-25 15:20:06] Constructed sample at index 235.
[2025-03-25 15:20:06] Constructed sample at index 236.
[2025-03-25 15:20:06] Constructed sample at index 237.
[2025-03-25 15:20:06] Constructed sample at index 238.
[2025-03-25 15:20:06] Constructed sample at index 239.
[2025-03-25 15:20:06] Constructed sample at index 240.
[2025-03-25 15:20:06] Constructed sample at index 241.
[2025-03-25 15:20:06] Constructed sample at index 242.
[2025-03-25 15:20:06] Constructed sample at index 243.
[2025-03-25 15:20:06] Constructed sample at index 244.
[2025-03-25 15:20:06] Constructed sample at index 245.
[2025-03-25 15:20:06] Constructed sample at index 246.
[2025-03-25 15:20:06] Constructed sample at index 247.
[2025-03-25 15:20:06] Constructed sample at index 248.
[2025-03-25 15:20:06] Constructed sample at index 249.
[2025-03-25 15:20:06] Constructed sample at index 250.
[2025-03-25 15:20:06] Constructed sample at index 251.
[2025-03-25 15:20:06] Constructed sample at index 252.
[2025-03-25 15:20:06] Constructed sample at index 253.
[2025-03-25 15:20:06] Constructed sample at index 254.
[2025-03-25 15:20:06] Constructed sample at index 255.
[2025-03-25 15:20:06] Constructed sample at index 256.
[2025-03-25 15:20:06] Constructed sample at index 257.
[2025-03-25 15:20:06] Constructed sample at index 258.
[2025-03-25 15:20:06] Constructed sample at index 259.
[2025-03-25 15:20:06] Constructed sample at index 260.
[2025-03-25 15:20:06] Constructed sample at index 261.
[2025-03-25 15:20:06] Constructed sample at index 262.
[2025-03-25 15:20:06] Constructed sample at index 263.
[2025-03-25 15:20:06] Constructed sample at index 264.
[2025-03-25 15:20:06] Constructed sample at index 265.
[2025-03-25 15:20:06] Constructed sample at index 266.
[2025-03-25 15:20:06] Constructed sample at index 267.
[2025-03-25 15:20:06] Constructed sample at index 268.
[2025-03-25 15:20:06] Constructed sample at index 269.
[2025-03-25 15:20:06] Constructed sample at index 270.
[2025-03-25 15:20:06] Constructed sample at index 271.
[2025-03-25 15:20:06] Constructed sample at index 272.
[2025-03-25 15:20:06] Constructed sample at index 273.
[2025-03-25 15:20:06] Constructed sample at index 274.
[2025-03-25 15:20:06] Constructed sample at index 275.
[2025-03-25 15:20:06] Constructed sample at index 276.
[2025-03-25 15:20:06] Constructed sample at index 277.
[2025-03-25 15:20:06] Constructed sample at index 278.
[2025-03-25 15:20:06] Constructed sample at index 279.
[2025-03-25 15:20:06] Constructed sample at index 280.
[2025-03-25 15:20:06] Constructed sample at index 281.
[2025-03-25 15:20:06] Constructed sample at index 282.
[2025-03-25 15:20:06] Constructed sample at index 283.
[2025-03-25 15:20:06] Constructed sample at index 284.
[2025-03-25 15:20:06] Constructed sample at index 285.
[2025-03-25 15:20:06] Constructed sample at index 286.
[2025-03-25 15:20:06] Constructed sample at index 287.
[2025-03-25 15:20:06] Constructed sample at index 288.
[2025-03-25 15:20:06] Constructed sample at index 289.
[2025-03-25 15:20:06] Constructed sample at index 290.
[2025-03-25 15:20:06] Constructed sample at index 291.
[2025-03-25 15:20:06] Constructed sample at index 292.
[2025-03-25 15:20:06] Constructed sample at index 293.
[2025-03-25 15:20:06] Constructed sample at index 294.
[2025-03-25 15:20:06] Constructed sample at index 295.
[2025-03-25 15:20:06] Constructed sample at index 296.
[2025-03-25 15:20:06] Constructed sample at index 297.
[2025-03-25 15:20:06] Constructed sample at index 298.
[2025-03-25 15:20:06] Constructed sample at index 299.
[2025-03-25 15:20:06] Constructed sample at index 300.
[2025-03-25 15:20:06] Constructed sample at index 301.
[2025-03-25 15:20:06] Constructed sample at index 302.
[2025-03-25 15:20:06] Constructed sample at index 303.
[2025-03-25 15:20:06] Constructed sample at index 304.
[2025-03-25 15:20:06] Constructed sample at index 305.
[2025-03-25 15:20:06] Constructed sample at index 306.
[2025-03-25 15:20:06] Constructed sample at index 307.
[2025-03-25 15:20:06] Constructed sample at index 308.
[2025-03-25 15:20:06] Constructed sample at index 309.
[2025-03-25 15:20:06] Constructed sample at index 310.
[2025-03-25 15:20:06] Constructed sample at index 311.
[2025-03-25 15:20:06] Constructed sample at index 312.
[2025-03-25 15:20:06] Constructed sample at index 313.
[2025-03-25 15:20:06] Constructed sample at index 314.
[2025-03-25 15:20:06] Constructed sample at index 315.
[2025-03-25 15:20:06] Constructed sample at index 316.
[2025-03-25 15:20:06] Constructed sample at index 317.
[2025-03-25 15:20:06] Constructed sample at index 318.
[2025-03-25 15:20:06] Constructed sample at index 319.
[2025-03-25 15:20:06] Constructed sample at index 320.
[2025-03-25 15:20:06] Constructed sample at index 321.
[2025-03-25 15:20:06] Constructed sample at index 322.
[2025-03-25 15:20:06] Constructed sample at index 323.
[2025-03-25 15:20:06] Constructed sample at index 324.
[2025-03-25 15:20:06] Constructed sample at index 325.
[2025-03-25 15:20:06] Constructed sample at index 326.
[2025-03-25 15:20:06] Constructed sample at index 327.
[2025-03-25 15:20:06] Constructed sample at index 328.
[2025-03-25 15:20:06] Constructed sample at index 329.
[2025-03-25 15:20:06] Constructed sample at index 330.
[2025-03-25 15:20:06] Constructed sample at index 331.
[2025-03-25 15:20:06] Constructed sample at index 332.
[2025-03-25 15:20:06] Constructed sample at index 333.
[2025-03-25 15:20:06] Constructed sample at index 334.
[2025-03-25 15:20:06] Constructed sample at index 335.
[2025-03-25 15:20:06] Constructed sample at index 336.
[2025-03-25 15:20:06] Constructed sample at index 337.
[2025-03-25 15:20:06] Constructed sample at index 338.
[2025-03-25 15:20:06] Constructed sample at index 339.
[2025-03-25 15:20:06] Constructed sample at index 340.
[2025-03-25 15:20:06] Constructed sample at index 341.
[2025-03-25 15:20:06] Constructed sample at index 342.
[2025-03-25 15:20:06] Constructed sample at index 343.
[2025-03-25 15:20:06] Constructed sample at index 344.
[2025-03-25 15:20:06] Constructed sample at index 345.
[2025-03-25 15:20:06] Constructed sample at index 346.
[2025-03-25 15:20:06] Constructed sample at index 347.
[2025-03-25 15:20:06] Constructed sample at index 348.
[2025-03-25 15:20:06] Constructed sample at index 349.
[2025-03-25 15:20:06] Constructed sample at index 350.
[2025-03-25 15:20:06] Constructed sample at index 351.
[2025-03-25 15:20:06] Constructed sample at index 352.
[2025-03-25 15:20:06] Constructed sample at index 353.
[2025-03-25 15:20:06] Constructed sample at index 354.
[2025-03-25 15:20:06] Constructed sample at index 355.
[2025-03-25 15:20:06] Constructed sample at index 356.
[2025-03-25 15:20:06] Constructed sample at index 357.
[2025-03-25 15:20:06] Constructed sample at index 358.
[2025-03-25 15:20:06] Constructed sample at index 359.
[2025-03-25 15:20:06] Constructed sample at index 360.
[2025-03-25 15:20:06] Constructed sample at index 361.
[2025-03-25 15:20:06] Constructed sample at index 362.
[2025-03-25 15:20:06] Constructed sample at index 363.
[2025-03-25 15:20:06] Constructed sample at index 364.
[2025-03-25 15:20:06] Constructed sample at index 365.
[2025-03-25 15:20:06] Constructed sample at index 366.
[2025-03-25 15:20:06] Constructed sample at index 367.
[2025-03-25 15:20:06] Constructed sample at index 368.
[2025-03-25 15:20:06] Constructed sample at index 369.
[2025-03-25 15:20:06] Constructed sample at index 370.
[2025-03-25 15:20:06] Constructed sample at index 371.
[2025-03-25 15:20:06] Constructed sample at index 372.
[2025-03-25 15:20:06] Constructed sample at index 373.
[2025-03-25 15:20:06] Constructed sample at index 374.
[2025-03-25 15:20:06] Constructed sample at index 375.
[2025-03-25 15:20:06] Constructed sample at index 376.
[2025-03-25 15:20:06] Constructed sample at index 377.
[2025-03-25 15:20:06] Constructed sample at index 378.
[2025-03-25 15:20:06] Constructed sample at index 379.
[2025-03-25 15:20:06] Constructed sample at index 380.
[2025-03-25 15:20:06] Constructed sample at index 381.
[2025-03-25 15:20:06] Constructed sample at index 382.
[2025-03-25 15:20:06] Constructed sample at index 383.
[2025-03-25 15:20:06] Constructed sample at index 384.
[2025-03-25 15:20:06] Constructed sample at index 385.
[2025-03-25 15:20:06] Constructed sample at index 386.
[2025-03-25 15:20:06] Constructed sample at index 387.
[2025-03-25 15:20:06] Constructed sample at index 388.
[2025-03-25 15:20:06] Constructed sample at index 389.
[2025-03-25 15:20:06] Constructed sample at index 390.
[2025-03-25 15:20:06] Constructed sample at index 391.
[2025-03-25 15:20:06] Constructed sample at index 392.
[2025-03-25 15:20:06] Constructed sample at index 393.
[2025-03-25 15:20:06] Constructed sample at index 394.
[2025-03-25 15:20:06] Constructed sample at index 395.
[2025-03-25 15:20:06] Constructed sample at index 396.
[2025-03-25 15:20:06] Constructed sample at index 397.
[2025-03-25 15:20:06] Constructed sample at index 398.
[2025-03-25 15:20:06] Constructed sample at index 399.
[2025-03-25 15:20:06] Constructed sample at index 400.
[2025-03-25 15:20:06] Constructed sample at index 401.
[2025-03-25 15:20:06] Constructed sample at index 402.
[2025-03-25 15:20:06] Constructed sample at index 403.
[2025-03-25 15:20:06] Constructed sample at index 404.
[2025-03-25 15:20:06] Constructed sample at index 405.
[2025-03-25 15:20:06] Constructed sample at index 406.
[2025-03-25 15:20:06] Constructed sample at index 407.
[2025-03-25 15:20:06] Constructed sample at index 408.
[2025-03-25 15:20:06] Constructed sample at index 409.
[2025-03-25 15:20:06] Constructed sample at index 410.
[2025-03-25 15:20:06] Constructed sample at index 411.
[2025-03-25 15:20:06] Constructed sample at index 412.
[2025-03-25 15:20:06] Constructed sample at index 413.
[2025-03-25 15:20:06] Constructed sample at index 414.
[2025-03-25 15:20:06] Constructed sample at index 415.
[2025-03-25 15:20:06] Constructed sample at index 416.
[2025-03-25 15:20:06] Constructed sample at index 417.
[2025-03-25 15:20:06] Constructed sample at index 418.
[2025-03-25 15:20:06] Constructed sample at index 419.
[2025-03-25 15:20:06] Constructed sample at index 420.
[2025-03-25 15:20:06] Constructed sample at index 421.
[2025-03-25 15:20:06] Constructed sample at index 422.
[2025-03-25 15:20:06] Constructed sample at index 423.
[2025-03-25 15:20:06] Constructed sample at index 424.
[2025-03-25 15:20:06] Constructed sample at index 425.
[2025-03-25 15:20:06] Constructed sample at index 426.
[2025-03-25 15:20:06] Constructed sample at index 427.
[2025-03-25 15:20:06] Constructed sample at index 428.
[2025-03-25 15:20:06] Constructed sample at index 429.
[2025-03-25 15:20:06] Constructed sample at index 430.
[2025-03-25 15:20:06] Constructed sample at index 431.
[2025-03-25 15:20:06] Constructed sample at index 432.
[2025-03-25 15:20:06] Constructed sample at index 433.
[2025-03-25 15:20:06] Constructed sample at index 434.
[2025-03-25 15:20:06] Constructed sample at index 435.
[2025-03-25 15:20:06] Constructed sample at index 436.
[2025-03-25 15:20:06] Constructed sample at index 437.
[2025-03-25 15:20:06] Constructed sample at index 438.
[2025-03-25 15:20:06] Constructed sample at index 439.
[2025-03-25 15:20:06] Constructed sample at index 440.
[2025-03-25 15:20:06] Constructed sample at index 441.
[2025-03-25 15:20:06] Constructed sample at index 442.
[2025-03-25 15:20:06] Constructed sample at index 443.
[2025-03-25 15:20:06] Constructed sample at index 444.
[2025-03-25 15:20:06] Constructed sample at index 445.
[2025-03-25 15:20:06] Constructed sample at index 446.
[2025-03-25 15:20:06] Constructed sample at index 447.
[2025-03-25 15:20:06] Constructed sample at index 448.
[2025-03-25 15:20:06] Constructed sample at index 449.
[2025-03-25 15:20:06] Constructed sample at index 450.
[2025-03-25 15:20:06] Constructed sample at index 451.
[2025-03-25 15:20:06] Constructed sample at index 452.
[2025-03-25 15:20:06] Constructed sample at index 453.
[2025-03-25 15:20:06] Constructed sample at index 454.
[2025-03-25 15:20:06] Constructed sample at index 455.
[2025-03-25 15:20:06] Constructed sample at index 456.
[2025-03-25 15:20:06] Constructed sample at index 457.
[2025-03-25 15:20:06] Constructed sample at index 458.
[2025-03-25 15:20:06] Constructed sample at index 459.
[2025-03-25 15:20:06] Constructed sample at index 460.
[2025-03-25 15:20:06] Constructed sample at index 461.
[2025-03-25 15:20:06] Constructed sample at index 462.
[2025-03-25 15:20:06] Constructed sample at index 463.
[2025-03-25 15:20:06] Constructed sample at index 464.
[2025-03-25 15:20:06] Constructed sample at index 465.
[2025-03-25 15:20:06] Constructed sample at index 466.
[2025-03-25 15:20:06] Constructed sample at index 467.
[2025-03-25 15:20:06] Constructed sample at index 468.
[2025-03-25 15:20:06] Constructed sample at index 469.
[2025-03-25 15:20:06] Constructed sample at index 470.
[2025-03-25 15:20:06] Constructed sample at index 471.
[2025-03-25 15:20:06] Constructed sample at index 472.
[2025-03-25 15:20:06] Constructed sample at index 473.
[2025-03-25 15:20:06] Constructed sample at index 474.
[2025-03-25 15:20:06] Constructed sample at index 475.
[2025-03-25 15:20:06] Constructed sample at index 476.
[2025-03-25 15:20:06] Constructed sample at index 477.
[2025-03-25 15:20:06] Constructed sample at index 478.
[2025-03-25 15:20:06] Constructed sample at index 479.
[2025-03-25 15:20:06] Constructed sample at index 480.
[2025-03-25 15:20:06] Constructed sample at index 481.
[2025-03-25 15:20:06] Constructed sample at index 482.
[2025-03-25 15:20:06] Constructed sample at index 483.
[2025-03-25 15:20:06] Constructed sample at index 484.
[2025-03-25 15:20:06] Constructed sample at index 485.
[2025-03-25 15:20:06] Constructed sample at index 486.
[2025-03-25 15:20:06] Constructed sample at index 487.
[2025-03-25 15:20:06] Constructed sample at index 488.
[2025-03-25 15:20:06] Constructed sample at index 489.
[2025-03-25 15:20:06] Constructed sample at index 490.
[2025-03-25 15:20:06] Constructed sample at index 491.
[2025-03-25 15:20:06] Constructed sample at index 492.
[2025-03-25 15:20:06] Constructed sample at index 493.
[2025-03-25 15:20:06] Constructed sample at index 494.
[2025-03-25 15:20:06] Constructed sample at index 495.
[2025-03-25 15:20:06] Constructed sample at index 496.
[2025-03-25 15:20:06] Constructed sample at index 497.
[2025-03-25 15:20:06] Constructed sample at index 498.
[2025-03-25 15:20:06] Constructed sample at index 499.
[2025-03-25 15:20:06] Constructed sample at index 500.
[2025-03-25 15:20:06] Constructed sample at index 501.
[2025-03-25 15:20:06] Constructed sample at index 502.
[2025-03-25 15:20:06] Constructed sample at index 503.
[2025-03-25 15:20:06] Constructed sample at index 504.
[2025-03-25 15:20:06] Constructed sample at index 505.
[2025-03-25 15:20:06] Constructed sample at index 506.
[2025-03-25 15:20:06] Constructed sample at index 507.
[2025-03-25 15:20:06] Constructed sample at index 508.
[2025-03-25 15:20:06] Constructed sample at index 509.
[2025-03-25 15:20:06] Constructed sample at index 510.
[2025-03-25 15:20:06] Constructed sample at index 511.
[2025-03-25 15:20:06] Constructed sample at index 512.
[2025-03-25 15:20:06] Constructed sample at index 513.
[2025-03-25 15:20:06] Constructed sample at index 514.
[2025-03-25 15:20:06] Constructed sample at index 515.
[2025-03-25 15:20:06] Constructed sample at index 516.
[2025-03-25 15:20:06] Constructed sample at index 517.
[2025-03-25 15:20:06] Constructed sample at index 518.
[2025-03-25 15:20:06] Constructed sample at index 519.
[2025-03-25 15:20:06] Constructed sample at index 520.
[2025-03-25 15:20:06] Constructed sample at index 521.
[2025-03-25 15:20:06] Constructed sample at index 522.
[2025-03-25 15:20:06] Constructed sample at index 523.
[2025-03-25 15:20:06] Constructed sample at index 524.
[2025-03-25 15:20:06] Constructed sample at index 525.
[2025-03-25 15:20:06] Constructed sample at index 526.
[2025-03-25 15:20:06] Constructed sample at index 527.
[2025-03-25 15:20:06] Constructed sample at index 528.
[2025-03-25 15:20:06] Constructed sample at index 529.
